offset,ratio,n_peers,corange,target_hit,peer_false,fallback,abs_err,label_mode,guard_factor
22.0,3.6050396754891665,1,False,True,False,True,0.3943674564361572,exclude_with_fallback,1.5
14.0,0.638721070276975,1,False,False,False,False,12.592162229120731,exclude_with_fallback,1.5
11.0,2.8417189363397553,1,False,False,False,False,0.6258682608604431,exclude_with_fallback,1.5
5.0,3.6487682489291027,1,False,False,False,False,0.8825633823871613,exclude_with_fallback,1.5
17.0,9.80411850107497,1,False,False,False,True,0.8488025665283203,exclude_with_fallback,1.5
7.0,1.3483375647939835,1,False,False,False,True,5.471241071820259,exclude_with_fallback,1.5
23.0,0.7694959637809234,1,False,False,False,False,18.997607484459877,exclude_with_fallback,1.5
5.0,0.30039994108209,1,False,False,False,False,4.046240799129009,exclude_with_fallback,1.5
9.0,2.191587176582882,1,False,True,False,False,0.3274676203727722,exclude_with_fallback,1.5
1.0,0.8829275912494793,1,False,True,False,False,0.0035585537552833557,exclude_with_fallback,1.5
25.0,7.17994216396345,1,False,True,False,False,0.3077918291091919,exclude_with_fallback,1.5
24.0,3.877335709173235,1,False,False,False,False,1.400722622871399,exclude_with_fallback,1.5
23.0,8.980962680139056,1,False,False,False,True,20.437426507472992,exclude_with_fallback,1.5
21.0,6.448768325514828,1,False,False,False,True,3.196815550327301,exclude_with_fallback,1.5
13.0,0.30457751593614607,1,False,False,False,False,12.179306387901306,exclude_with_fallback,1.5
23.0,1.4458481449942946,1,False,False,False,False,2.2229455709457397,exclude_with_fallback,1.5
3.0,7.545116918527096,1,False,False,False,True,1.011336863040924,exclude_with_fallback,1.5
17.0,2.3107973928561774,1,False,True,False,False,0.0967370867729187,exclude_with_fallback,1.5
9.0,6.858603410357665,1,False,False,False,False,1.6740655899047852,exclude_with_fallback,1.5
12.0,3.224671686601389,1,False,False,False,False,2.3214892148971558,exclude_with_fallback,1.5
16.0,0.699632740015087,1,False,False,False,False,12.727856129407883,exclude_with_fallback,1.5
-3.0,5.3902723171371525,1,False,False,False,False,0.6823806539177895,exclude_with_fallback,1.5
23.0,8.748427544418929,1,False,False,False,True,5.547402381896973,exclude_with_fallback,1.5
8.0,2.3383468855312515,1,False,False,False,False,3.1172947883605957,exclude_with_fallback,1.5
16.0,2.673068862951348,1,False,False,False,False,1.8061485886573792,exclude_with_fallback,1.5
20.0,3.6589547270969383,1,False,False,False,True,9.020243406295776,exclude_with_fallback,1.5
1.0,4.362862775137341,1,False,False,False,True,0.8766889572143555,exclude_with_fallback,1.5
17.0,3.2970656912544833,1,False,False,False,False,0.8263429999351501,exclude_with_fallback,1.5
7.0,1.6597949224199193,1,False,False,False,False,0.6341952085494995,exclude_with_fallback,1.5
6.0,4.512487196728642,1,False,False,False,False,0.8399542570114136,exclude_with_fallback,1.5
12.0,1.1554713590300367,1,False,False,False,False,6.822921350598335,exclude_with_fallback,1.5
18.0,5.783224158609711,1,False,False,False,False,1.2734785676002502,exclude_with_fallback,1.5
30.0,0.9716617528593902,1,False,False,False,False,21.872471272945404,exclude_with_fallback,1.5
16.0,0.7852030372628135,1,False,False,False,False,12.35514897108078,exclude_with_fallback,1.5
19.0,8.000024708022881,1,False,True,False,False,0.4120587706565857,exclude_with_fallback,1.5
5.0,5.83367167749097,1,False,False,False,False,1.4302579462528229,exclude_with_fallback,1.5
-1.0,4.260426893020222,1,False,False,False,False,4.983254671096802,exclude_with_fallback,1.5
30.0,0.3402661999942966,1,False,False,False,False,29.030922904610634,exclude_with_fallback,1.5
26.0,0.2194227304968923,1,False,False,False,False,25.15927877649665,exclude_with_fallback,1.5
0.0,11.422728001372452,1,True,False,False,True,0.8463920056819916,exclude_with_fallback,1.5
1.0,12.935486263913566,1,False,False,False,True,2.2560317516326904,exclude_with_fallback,1.5
0.0,1.3670721633019398,1,True,False,False,False,0.8226735666394234,exclude_with_fallback,1.5
-1.0,2.3838270929039638,1,False,False,False,False,3.653670847415924,exclude_with_fallback,1.5
7.0,1.377513959043052,1,False,False,False,False,1.8354686498641968,exclude_with_fallback,1.5
-4.0,6.045978334995173,1,False,False,False,True,1.2756395488977432,exclude_with_fallback,1.5
25.0,1.2004411743511227,1,False,False,False,False,13.807315856218338,exclude_with_fallback,1.5
-1.0,3.638438603754789,1,False,False,False,False,1.5058478862047195,exclude_with_fallback,1.5
26.0,6.715189351388752,1,False,False,False,True,23.48205867409706,exclude_with_fallback,1.5
2.0,1.3496290696526356,1,False,True,False,False,0.2482067048549652,exclude_with_fallback,1.5
0.0,6.049594099139554,1,True,False,False,True,0.5173447579145432,exclude_with_fallback,1.5
27.0,3.100047938782831,1,False,False,False,True,7.987257361412048,exclude_with_fallback,1.5
10.0,4.296367718753293,1,False,False,False,False,0.5561909675598145,exclude_with_fallback,1.5
10.0,11.237874147963916,1,False,False,False,True,0.6060326099395752,exclude_with_fallback,1.5
-2.0,4.289085030246604,1,False,False,False,False,0.9499962031841278,exclude_with_fallback,1.5
8.0,2.1030147499738447,1,False,False,False,False,1.4306647777557373,exclude_with_fallback,1.5
1.0,12.839080758004725,1,False,False,False,True,1.4408102631568909,exclude_with_fallback,1.5
8.0,9.117569090634715,1,False,False,False,True,1.0497417747974396,exclude_with_fallback,1.5
25.0,1.3926519235073944,1,False,False,False,False,3.7861226201057434,exclude_with_fallback,1.5
20.0,3.6907337704067853,1,False,False,False,False,1.933650016784668,exclude_with_fallback,1.5
18.0,0.5163369621991903,1,False,False,False,False,16.714957892894745,exclude_with_fallback,1.5
-2.0,3.657724661042441,1,False,False,False,True,0.9854407012462616,exclude_with_fallback,1.5
25.0,0.5740446120565298,1,False,False,False,False,23.258463442325592,exclude_with_fallback,1.5
18.0,4.407105284832752,1,False,False,False,False,1.5598384737968445,exclude_with_fallback,1.5
0.0,2.6852703939870226,1,True,False,False,True,1.1762880310416222,exclude_with_fallback,1.5
16.0,1.4433231518661784,1,False,False,False,False,8.638182580471039,exclude_with_fallback,1.5
10.0,8.524372721649918,1,False,False,False,True,5.713967263698578,exclude_with_fallback,1.5
9.0,2.8439460663488765,1,False,True,False,False,0.3740735948085785,exclude_with_fallback,1.5
24.0,1.974834257036187,1,False,False,False,False,1.069591999053955,exclude_with_fallback,1.5
24.0,0.254692088436148,1,False,False,False,False,22.967746701091528,exclude_with_fallback,1.5
4.0,1.2909583937902946,1,False,True,False,False,0.22847852110862732,exclude_with_fallback,1.5
-6.0,11.961862010551014,1,False,False,False,True,0.9630289897322655,exclude_with_fallback,1.5
6.0,4.906831390565829,1,False,True,False,True,0.47513461112976074,exclude_with_fallback,1.5
23.0,1.642050287524622,1,False,True,False,False,0.3065606355667114,exclude_with_fallback,1.5
-7.0,12.09682026147541,1,False,False,False,True,0.8999520875513554,exclude_with_fallback,1.5
22.0,1.0865306483463135,1,False,False,False,False,8.917400300502777,exclude_with_fallback,1.5
24.0,0.4876248112090729,1,False,False,False,False,22.75628087669611,exclude_with_fallback,1.5
-4.0,4.152706522207059,1,False,False,False,True,2.299205645918846,exclude_with_fallback,1.5
20.0,1.1169300794757846,1,False,False,False,False,0.6102341413497925,exclude_with_fallback,1.5
26.0,0.7071750869805252,1,False,False,False,False,14.48888087272644,exclude_with_fallback,1.5
5.0,0.26232467085618305,1,False,False,False,False,4.083365935832262,exclude_with_fallback,1.5
17.0,2.207722318742887,1,False,False,False,False,0.7062683701515198,exclude_with_fallback,1.5
4.0,3.932634494634387,1,False,False,False,False,2.3469974994659424,exclude_with_fallback,1.5
8.0,10.31274486728443,1,False,True,False,True,0.46604639291763306,exclude_with_fallback,1.5
8.0,8.446899649187298,1,False,False,False,True,1.367010474205017,exclude_with_fallback,1.5
-1.0,5.048200207271606,1,False,False,True,True,1.0653291195631027,exclude_with_fallback,1.5
31.0,0.26080472472237126,1,False,False,False,False,30.132143303751945,exclude_with_fallback,1.5
12.0,4.456699535166156,1,False,True,False,False,0.24603396654129028,exclude_with_fallback,1.5
-2.0,5.532084279560778,1,False,False,False,False,1.2479055672883987,exclude_with_fallback,1.5
3.0,5.3059243482307785,1,False,False,False,False,4.426314353942871,exclude_with_fallback,1.5
0.0,9.740715742669353,1,True,False,False,True,0.979626014828682,exclude_with_fallback,1.5
7.0,0.321672576851928,1,False,False,False,False,6.135751187801361,exclude_with_fallback,1.5
10.0,8.19830118703512,1,False,False,False,False,4.221373349428177,exclude_with_fallback,1.5
7.0,13.948134241048061,1,False,True,False,True,0.3565491735935211,exclude_with_fallback,1.5
28.0,1.8805043016959946,1,False,False,False,False,23.021814227104187,exclude_with_fallback,1.5
7.0,0.3197105783830417,1,False,False,False,False,6.1430515348911285,exclude_with_fallback,1.5
